,Name,Category,Business Description,Based in,Tags,Total Funding,Founded,Website,Company Status
0,Print Pronto,Denmark,"Print Pronto is a premier print marketplace that connects customers with top vendors for high-quality custom printing solutions. We specialize in business cards, banners, and promotional products, delivering exceptional service and fast turnaround times to bring your creative visions to life.","USA (17 Main St. Suite 302-C Robbinsville, NJ 08691)","CustomPrinting,PrintMarketplace",Between €100K-€500K,2023.0,https://printpronto.com/,Active
1,Ocean.io,Denmark,"Ocean is the Revenue Intelligence Platform using AI to help B2B commercial teams focus their time, money, and effort on the right opportunities to maximize growth from both new and existing business.",Copenhagen,SaaS,Between €5 million-€10 million,2017.0,https://ocean.io/,
2,Fluentos,Denmark,"Fluentos empowers e-commerce businesses to increase conversion rates by up to 50% with a no-code popup builder. 
Marketing teams can create and validate engaging popup ideas without involving developers. 
Using advanced targeting and A/B testing, Fluentos ensures the delivery of the right message to the right customer at the perfect time. 
Leading brands like Jack & Jones, Only, and others trust us with our services. Fluentos is essential for accelerating sales, minimizing order return rates and cart abandonments, and fostering more robust customer relationships — while respecting privacy.",Vejle,"E-Commerce, Marketing Platform, Popup, SaaS, B2B, Business, Conversion Rate Optimization",No funding announced yet,2022.0,https://fluentos.com,
6,EagleHunt AI,Denmark,"EagleHunt.AI provides an AI-driven Visual Studio Code extension for real-time code security, offering instant vulnerability detection and actionable feedback to enhance development practices.",Holbek,"CodeSecurity,AIIntegration,VisualStudioCode",Between €100K-€500K,2024.0,https://eaglehunt.ai,Active
7,Machina Sports,Denmark,"Machina Sports is a pioneering sports technology company that integrates real-time data with advanced AI to revolutionize sports management. Our platform provides automated content creation and delivers personalized insights through cutting-edge Generative AI and OpenAI-compatible APIs. Designed to enhance fan engagement and streamline operations, Machina Sports offers scalable solutions suitable for organizations of all sizes, from grassroots teams to major leagues. By automating dynamic content and providing actionable analytics, we empower sports organizations to stay ahead in a rapidly evolving industry, setting a new standard for efficiency and innovation.",Holbek,"SportsTech,AI,RealTimeData",Between €1-€100K,2023.0,https://machina.gg/,Active
8,Wallpapery,Denmark,Wallpapery makes a Mac OS X app and website with desktop wallpapers.,Copenhagen,"wallpapers, mac, desktop",No funding announced yet,2016.0,https://www.wallpaperyapp.com/,Active
9,Strongsize,Denmark,"Strongsize delivers premium, stylish clothing for big and tall men, ensuring a perfect fit and lasting comfort with every piece.",Copenhagen,"Big and Tall Fashion,Men’s Clothing,Plus Size Men",Between €1 million-€ 2.5 million,2024.0,https://strongsize.com/,Active
10,Minibook,Denmark,"Welcome to Minibook – where we revolutionize childcare and school management through the power of AI. Our mission is to transform the educational landscape, making it more efficient, safe, and nurturing for children. By joining our team, you will be at the forefront of this transformation, leveraging cutting-edge technology to solve critical problems faced by childcare providers and schools worldwide.",Copenhagen,"childcare, ai, kindergarten, school",No funding announced yet,2022.0,www.minibook.app,Active
11,Zeta Diagnostic,Denmark,"Eustachian Tube Dysfunction (ETD) is a common middle ear condition, that affects 4-5% of the global population, and as much as 40% of the children below the age of five.",Aarhus,Health,No funding announced yet,2023.0,https://zetadiagnostics.com/,Active
12,Wenemea,Denmark,"With Wenemea solution chemotherapy induced peripheral neuropathy (CIPN) can be monitored easier, leading to earlier action, including improved medication and improved quality of life for breast cancer patients",Aarhus,"BigData, Health",Between €100K-€500K,2023.0,https://www.wenemea.com/,Active
13,Umamamia,Denmark,"Umamamia develops fermented organic, plant-based umami ingredients that add umami and flavor to meat-substituting products to make them taste exquisite.",Kongens Lyngby,"Food & Drinks, Manufacturing",Above €25 million,2020.0,https://www.umamamia.com/,Active
14,The 0-Mission,Denmark,A B2B marketplace enabling SMEs to add new renewable energy to the grid.,Copenhagen,"SaaS, Sustainability",Between €100K-€500K,2022.0,https://www.the0mission.dk/,Active
15,Suplient,Denmark,"At Suplient, we’re revolutionizing the coaching and psychotherapy landscape.",Copenhagen,"AI, SaaS",Above €25 million,2023.0,https://www.suplient.com/,Active
16,SoundWheel,Denmark,Meditation is notfor everyone!Many people experience restlessness when they try ordinary mindfulness or meditation exercises.,Copenhagen,Health,Between €100K-€500K,2021.0,https://www.soundwheel.com/da/download-app,Active
17,Skypuzzler,Denmark,Skypuzzler is at the forefront of innovation in the aviation industry. We understand the immense potential of drone technology and the need for digital air traffic control systems that ensure flight safety while enabling the drone industry's growth.,Copenhagen,AeroTech,Between €100K-€500K,2022.0,https://www.skypuzzler.com/,Active
18,Sens-vue,Denmark,Sens-vue is developing a solution in personalized ophthalmological care.,Copenhagen,Health,Between €500K-€ 1 million,2022.0,https://www.sens-vue.dk/,Active
19,ROICO,Denmark,At ROICO we want to make a difference for the people that paint our world.,Odense,Health,Above €25 million,2021.0,https://www.roicosolutions.com/,Active
20,QASE Tech,Denmark,QASE Tech is an Aarhus-based educational technology company founded by two physicists with astronomy and quantum physics backgrounds.,Aarhus,"Education, SaaS",Between €1 million-€ 2.5 million,2023.0,https://www.qasetech.com/,Active
21,Phlit,Denmark,Phlit is a DTU-based start-up whose mission is to disrupt the clean tech industry by unlocking the flexibility of electrical drives.,Kongens Lyngby,CleanTech,Between €2.5 million-5 million,2021.0,https://www.phlit.dk/,Active
22,Økoskabet,Denmark,Økoskabet is the new CO2 friendly way to deliver food in the city.,Dragør,"SaaS, Sustainability",Between €1 million-€ 2.5 million,2019.0,https://www.okoskabet.dk/,Active
23,Oceanswell Energy,Denmark,"Expertise-Driven Management: Navigating Offshore Vessels, Green Technologies.",Copenhagen,"Sustainability, Transportation",Above €25 million,2022.0,https://www.oceanswellenergy.com/,Active
24,NordInvent,Denmark,Many food production companies are nowhere near full utilization of the raw materials they use in their production.,Herlufmagle,Sustainability,Between €1 million-€ 2.5 million,2020.0,https://www.nordinvent.com/,Active
26,HubBroker ApS,Denmark,HubBroker is a leading provider of innovative digital solutions designed to streamline business processes and enhance operational efficiency. Specializing in Electronic Data Interchange (EDI) and ERP integration services,Horsholm,"EDI Consulting, EDI Solutions, ERP integrations, PDF2XML, EDI and ERP Integration",Between €500K-€ 1 million,2012.0,https://hubbroker.com,Active
27,NeoCare Nordic,Denmark,NeoCare Nordic is developing solutions for neonatal children - ensuring both safety and clinical benefits.,Copenhagen,Health,Between €1-€100K,2022.0,https://www.neocarenordic.com/,Active
28,næctar,Denmark,Social media platforms can feel vast and unpersonalised. But they don’t have to. Næctar enables 1:1 conversations between content creators and their followers.,Copenhagen,SaaS,Above €25 million,2023.0,https://www.naectar.app/,Active
29,Mixtery,Denmark,Mixtery makes innovative pharmaceutical packaging solutions.,Copenhagen,Health,No funding announced yet,2021.0,https://www.mixtery.dk/,Active
30,Leaf Insurance,Denmark,Leaf automates the insurance broker process for small enterprises. We combine real-time company data with digitalized policies to make sure that customers always have the right insurance at the best price.And we do it for free.,Copenhagen,"Insurtech, BigData",Between €100K-€500K,2023.0,https://www.leaf-forsikring.dk/,Active
31,Insutex,Denmark,We are a dynamic and forward-thinking startup passionately committed to advancing sustainability in the construction industry.,Copenhagen,Purpose,Between €500K-€ 1 million,2023.0,https://www.insutex.co/,Active
32,GET LIT DK,Denmark,Denmark's first sharing concept of power banks that makes it possible to charge your phone ON-THE-GO! Stop leaving phones with others or at sockets!,Copenhagen,Sharing Economy,Above €25 million,2020.0,https://www.get-lit.dk/,Active
33,EXO360,Denmark,At Exo360 we are developing the ExoCast which will replace plaster cast in the ER.,Kongens Lyngby,Health,Between €100K-€500K,2021.0,https://www.exo360.org/,Active
34,Exitplanner,Denmark,"7 out of 10 businesses up for sale, never get sold. We are determined to change that statistic!This means that 70% of all businesses waste significant amount of money on expensive preparation for a sale that never happens.",Copenhagen,"BigData, SaaS",Above €25 million,2021.0,https://www.exitplanner.app/,Active
35,Ergasta,Denmark,"Ergasta has created the world's first pipetting vacuum aspirator, the patent-pending Ergaspira200.",Aarhus,Health,Between €100K-€500K,2020.0,https://www.ergasta.com/,Active
36,Pattrnz,Denmark,Dataverz creates and implements data-driven IT solutions to foster collaboration and innovation.,Copenhagen,BigData,Between €100K-€500K,2018.0,https://www.dataverz.net/pattrnz,Active
37,Clair Scientific,Denmark,"Jump-start your R&D with an affordable, versatile and easy-to-use microscope.",Kongens Lyngby,Health,Between €1 million-€ 2.5 million,2024.0,https://www.clairscientific.com/,Active
38,Bygaard,Denmark,BYGAARD is an organic urban farm in Copenhagen. We produce greens and mushrooms that we sell directly to local consumers and the city's best restaurants.,Copenhagen,Farming,Between €2.5 million-5 million,2018.0,https://www.bygaard.dk/,Active
39,Bikekey,Denmark,At Bikekey we want to change the way insurance companies handle bike administration.,Copenhagen,"Fintech, Insurtech, SaaS",Between €100K-€500K,2021.0,https://www.bikekey.com/,Active
40,BeWo,Denmark,Automatically track your environmental footprint with BeWo. We digitize your green initiatives.,Søborg,"BigData, Sustainability",Between €1 million-€ 2.5 million,2020.0,https://www.bewo.io/,Active
41,Wecycle Furniture,Denmark,We at Wecycle Furniture are a company with a focus on sustainable furnishing and furniture recycling.,Dragør,Circular Economy,Between €500K-€ 1 million,2022.0,https://wecyclefurniture.dk/?srsltid=AfmBOopDIYPaO5qh2eqxqqwYS8XYNZy77FrdsMK5ocYrzhX2F1BTDqg9,Active
42,Vocaire,Denmark,We work hard using Artificial Intelligence to make physical therapists' lives easier.,Copenhagen,"AI, Health",Between €100K-€500K,2022.0,https://vocaire.ai/,Active
43,Unmute Greetings,Denmark,Unmute empower human expression through voice. Inspiring humans to Unmute their voices and build life-long relationships.,Copenhagen,Media and Entertainment,Between €1 million-€ 2.5 million,2021.0,https://unmutegreetings.dk/,Active
44,TuneButler,Denmark,Enhance your brand identity with in-store background music and digital signage. Save time and enjoy the best of both worlds through one portal.,Aarhus,Music,Between €100K-€500K,2020.0,https://tunebutler.dk/,Active
45,Tinyfarms,Denmark,Interactive indoor farms for education,Copenhagen,"Agritech, Education",Between €500K-€ 1 million,2022.0,https://tinyfar.ms/,Active
46,SyncDesk,Denmark,"Syncdesk is a digital handover solution for ambitious hotels, that aim to increase the service level and streamline the operation.",Copenhagen,SaaS,Between €100K-€500K,2022.0,https://syncdesk.io/,Active
47,SWÖM,Denmark,SWÖM is on a mission to save people - especially young children - from drowning.,Copenhagen,"Manufacturing, Purpose",Between €1 million-€ 2.5 million,2022.0,https://swom.framer.website/,Active
48,Sustainly,Denmark,"Sustainly is an all in-one platform, empowering companies of all sizes to create and implement sustainability strategies.",Copenhagen,"Purpose, SaaS",Between €1-€100K,2023.0,https://sustainly.earth/,Active
