Name,Category,Based in,Tags,Founded,Image URL
Ocean.io,Denmark,Copenhagen,SaaS,2017,https://www.eu-startups.com/wp-content/uploads/2024/09/Lookalike-Pandadoc-150x73.png
Fluentos,Denmark,Vejle,"E-Commerce, Marketing Platform, Popup, SaaS, B2B, Business, Conversion Rate Optimization",2022,https://www.eu-startups.com/wp-content/uploads/2024/09/fluentos-logo-cropped-150x150.png
EagleHunt AI,Denmark,Holbek,"CodeSecurity,AIIntegration,VisualStudioCode",2024,https://www.eu-startups.com/wp-content/uploads/2024/09/Screenshot-2024-09-16-133750-150x150.png
Machina Sports,Denmark,Holbek,"SportsTech,AI,RealTimeData",2023,https://www.eu-startups.com/wp-content/uploads/2024/09/Screenshot-2024-09-05-111539-150x109.png
Wallpapery,Denmark,Copenhagen,"wallpapers, mac, desktop",2016,https://www.eu-startups.com/wp-content/uploads/2024/08/wallpapery-large-hero@2x-150x75.png
Strongsize,Denmark,Copenhagen,"Big and Tall Fashion,Men’s Clothing,Plus Size Men",2024,https://www.eu-startups.com/wp-content/uploads/2024/07/34993f432e17248ede3e7d1f25847389.w600.h600._RO29910000000015_FMpng_-150x150.png
Minibook,Denmark,Copenhagen,"childcare, ai, kindergarten, school",2022,https://www.eu-startups.com/wp-content/uploads/2024/06/iphone-mockup-3-copy-150x113.png
Zeta Diagnostic,Denmark,Aarhus,Health,2023,https://www.eu-startups.com/wp-content/uploads/2024/06/zeta_diagnostics_logo-150x150.jpg
Wenemea,Denmark,Aarhus,"BigData, Health",2023,https://www.eu-startups.com/wp-content/uploads/2024/06/wenemea_logo-removebg-preview-150x27.png
Umamamia,Denmark,Kongens Lyngby,"Food & Drinks, Manufacturing",2020,https://www.eu-startups.com/wp-content/uploads/2024/07/umamamia_logo-150x150.jpg
Themison,Denmark,Copenhagen,"Health, SaaS",2023,https://www.eu-startups.com/wp-content/uploads/2024/06/download-112-150x151.png
The 0-Mission,Denmark,Copenhagen,"SaaS, Sustainability",2022,https://www.eu-startups.com/wp-content/uploads/2024/06/download-111-150x113.png
Suplient,Denmark,Copenhagen,"AI, SaaS",2023,https://www.eu-startups.com/wp-content/uploads/2024/06/1683039677163-150x150.jpg
SoundWheel,Denmark,Copenhagen,Health,2021,https://www.eu-startups.com/wp-content/uploads/2024/06/Logo-1-Sound-Wheel.webp
Skypuzzler,Denmark,Copenhagen,AeroTech,2022,https://www.eu-startups.com/wp-content/uploads/2024/06/skypuzzler_blue_350x81px-150x35.png
Sens-vue,Denmark,Copenhagen,Health,2022,https://www.eu-startups.com/wp-content/uploads/2024/06/download-102-150x150.png
ROICO,Denmark,Odense,Health,2021,https://www.eu-startups.com/wp-content/uploads/2024/06/ROICO_logo_4k_new_Transparent___serialized1-150x35.png
QASE Tech,Denmark,Aarhus,"Education, SaaS",2023,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-83-150x150.png
Phlit,Denmark,Kongens Lyngby,CleanTech,2021,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-80-150x150.png
Økoskabet,Denmark,Dragør,"SaaS, Sustainability",2019,https://www.eu-startups.com/wp-content/uploads/2024/06/1630651109907-150x150.jpg
Oceanswell Energy,Denmark,Copenhagen,"Sustainability, Transportation",2022,https://www.eu-startups.com/wp-content/uploads/2024/06/cropped-oseweb_logo_white-150x60.png
NordInvent,Denmark,Herlufmagle,Sustainability,2020,https://www.eu-startups.com/wp-content/uploads/2024/06/nordinvent_logo-150x150.jpg
Tap4AI,Denmark,american,AI tools,2024,https://www.eu-startups.com/wp-content/uploads/2024/06/FireShot-Capture-112-Get-your-best-AI-Tools-Tap4-AI-Directory-tap4.ai_-150x84.png
HubBroker ApS,Denmark,Horsholm,"EDI Consulting, EDI Solutions, ERP integrations, PDF2XML, EDI and ERP Integration",2012,https://www.eu-startups.com/wp-content/uploads/2024/06/image001-150x20.png
NeoCare Nordic,Denmark,Copenhagen,Health,2022,https://www.eu-startups.com/wp-content/uploads/2024/06/NeoCare_Nordic_VisuelIdentitet_Tegnebraet1-150x152.png
Mixtery,Denmark,Copenhagen,Health,2021,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-61-150x150.png
Leaf Insurance,Denmark,Copenhagen,"Insurtech, BigData",2023,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-70-150x150.png
Insutex,Denmark,Copenhagen,Purpose,2023,https://www.eu-startups.com/wp-content/uploads/2024/06/dddd-150x50.png
GET LIT DK,Denmark,Copenhagen,Sharing Economy,2020,https://www.eu-startups.com/wp-content/uploads/2024/06/download-70-150x135.png
EXO360,Denmark,Kongens Lyngby,Health,2021,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-41-150x150.jpg
Exitplanner,Denmark,Copenhagen,"BigData, SaaS",2021,https://www.eu-startups.com/wp-content/uploads/2024/06/exitplanner_logo-150x150.jpg
Ergasta,Denmark,Aarhus,Health,2020,https://www.eu-startups.com/wp-content/uploads/2024/06/ergasta-v4-larger-text-coolor-palette-150x33.png
Pattrnz,Denmark,Copenhagen,BigData,2018,https://www.eu-startups.com/wp-content/uploads/2024/06/pattrnz_logo-150x150.jpg
Clair Scientific,Denmark,Kongens Lyngby,Health,2024,https://www.eu-startups.com/wp-content/uploads/2024/06/Clair_Scientific_B-02_edited-150x51.webp
Bygaard,Denmark,Copenhagen,Farming,2018,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-25-150x150.jpg
Bikekey,Denmark,Copenhagen,"Fintech, Insurtech, SaaS",2021,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-39-150x150.png
BeWo,Denmark,Søborg,"BigData, Sustainability",2020,https://www.eu-startups.com/wp-content/uploads/2024/06/download-55-150x46.png
Wecycle Furniture,Denmark,Dragør,Circular Economy,2022,https://www.eu-startups.com/wp-content/uploads/2024/10/D-150x111.png
Vocaire,Denmark,Copenhagen,"AI, Health",2022,https://www.eu-startups.com/wp-content/uploads/2024/06/download-3-27-150x150.png
Unmute Greetings,Denmark,Copenhagen,Media and Entertainment,2021,https://www.eu-startups.com/wp-content/uploads/2024/06/download-5-13-150x150.png
TuneButler,Denmark,Aarhus,Music,2020,https://www.eu-startups.com/wp-content/uploads/2024/10/E-150x44.png
Tinyfarms,Denmark,Copenhagen,"Agritech, Education",2022,https://www.eu-startups.com/wp-content/uploads/2024/06/download-6-8-150x150.png
SyncDesk,Denmark,Copenhagen,SaaS,2022,https://www.eu-startups.com/wp-content/uploads/2024/06/download-46-150x30.png
SWÖM,Denmark,Copenhagen,"Manufacturing, Purpose",2022,https://www.eu-startups.com/wp-content/uploads/2024/10/F-150x66.png
Sustainly,Denmark,Copenhagen,"Purpose, SaaS",2023,https://www.eu-startups.com/wp-content/uploads/2024/10/Captura-de-pantalla-2024-10-23-a-les-12.59.01-150x46.png
Social Tech Projects,Denmark,Copenhagen,Purpose,2019,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-29-150x46.png
Sens Vue,Denmark,Copenhagen,Health,2022,https://www.eu-startups.com/wp-content/uploads/2024/06/download-43-150x150.png
SearchMaster,Denmark,Esbjerg,"Marine Technology, Safety Tech",2019,https://www.eu-startups.com/wp-content/uploads/2024/06/Searchmaster-logo-pale-gold-e1702630809955.png
Phanofi,Denmark,Kongens Lyngby,BigData,2022,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-22-150x150.jpg
Paint’R,Denmark,Copenhagen,Purpose,2020,https://www.eu-startups.com/wp-content/uploads/2024/06/download-3-7-150x150.jpg
Pacific North,Denmark,Aalborg,Sports,2021,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-23-150x150.png
MyKin.ai,Denmark,Copenhagen,"AI, Health, SaaS",2023,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-20-150x150.jpg
Molecular Quantum Solutions,Denmark,Copenhagen,"Purpose, Health, IoT",2019,https://www.eu-startups.com/wp-content/uploads/2024/06/download-35-150x150.png
Molecular Quantum Solutions,Denmark,Copenhagen,"Purpose, Health, IoT",2019,https://www.eu-startups.com/wp-content/uploads/2024/06/download-35-150x150.png
Jabbr,Denmark,Copenhagen,BigData,2022,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-17-150x150.jpg
Inspectral,Denmark,Copenhagen,"Agritech, AI, Big Data",2023,https://www.eu-startups.com/wp-content/uploads/2024/06/inspectral_logo-150x84.png
InnoPilot,Denmark,Copenhagen,BigData,2021,https://www.eu-startups.com/wp-content/uploads/2024/06/innopilot_logo-150x150.jpg
grounded,Denmark,Copenhagen,Sustainability,2023,https://www.eu-startups.com/wp-content/uploads/2024/06/Grounded_logo_Type_brown-150x39.png
Enyday,Denmark,Copenhagen,SaaS,2017,https://www.eu-startups.com/wp-content/uploads/2024/06/download-5-2-150x150.png
Dynelectro,Denmark,Copenhagen,Sustainability,2018,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-12-150x150.png
CatchScan,Denmark,Aalborg,SaaS,2021,https://www.eu-startups.com/wp-content/uploads/2024/06/download-4-2-150x150.png
BuildCode,Denmark,Odensee,"BigData, Real Estate",2017,https://www.eu-startups.com/wp-content/uploads/2024/06/BuildCode_logo_1.0-150x61.png
BetterChoice,Denmark,Denmark,Purpose,2023,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-3-150x150.jpg
ATTO 3D,Denmark,Kongens Lyngby,Nanotechnology,2022,https://www.eu-startups.com/wp-content/uploads/2024/06/download-8-150x150.png
Alcolase,Denmark,Copenhagen,Health,2021,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-1-150x150.jpg
Aerial Tools,Denmark,Copenhagen,Drones,2019,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-150x150.png
danBots,Denmark,Copenhagen,Health,2017,https://www.eu-startups.com/wp-content/uploads/2024/05/download-3-150x30.jpg
EchoVice,Denmark,Denmark,Health,2022,https://www.eu-startups.com/wp-content/uploads/2024/05/image-removebg-preview-150x26.png
ClientForge,Denmark,Koege,"SaaS, productivity, communication",2024,https://www.eu-startups.com/wp-content/uploads/2024/05/logoAndName-150x45.png
Pluto.markets,Denmark,Copenhagen,"Financial Services, FinTech, Investment",2021,https://www.eu-startups.com/wp-content/uploads/2024/05/Pluto-150x150.jpg
Aegir Insights,Denmark,Copenhagen,"AI, ML, Power-to-X, Offshore wind",2024,https://www.eu-startups.com/wp-content/uploads/2024/05/Aegir-Insights-150x150.jpg
Artelize,Denmark,Copenhagen,"Godaddy Nameserver,Marketing Automation,Image and Video Services,",2021,https://www.eu-startups.com/wp-content/uploads/2024/05/1647261433450-150x150.jpg
proemial,Denmark,Aarhus,"Technology, Information and Internet",2023,https://www.eu-startups.com/wp-content/uploads/2024/05/proemial_logo-150x150.jpg
Performativ,Denmark,København,"Marketing Automation,Email Hosting Service,Tag Management,",2020,https://www.eu-startups.com/wp-content/uploads/2024/05/performativ_logo-150x150.jpg
